Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,13.866334560948514,13.991570106077535,13.720225982617546,13.963739395141602,3456660,0.0,0.0
2019-01-03,13.883728534370755,14.130720130115133,13.869813178459173,14.005484580993652,6395564,0.0,0.0
2019-01-04,14.082017158346895,14.158550285813119,14.01939938624568,14.054187774658203,992239,0.0,0.0
2019-01-07,14.068100675350069,14.102889060974121,13.963738172560353,14.102889060974121,2345981,0.0,0.0
2019-01-08,14.06114356307505,14.214209811887258,14.054187212712018,14.179421424865723,3144538,0.0,0.0
2019-01-09,14.22116723050718,14.228124907784878,13.92895142005014,13.984611511230469,2808956,0.0,0.0
2019-01-10,13.984612106510632,14.311614990234375,13.984612106510632,14.311614990234375,1746570,0.0,0.0
2019-01-11,14.283787693363216,14.388150218132424,14.151594454233418,14.262914657592773,1493691,0.0,0.0
2019-01-14,14.15855263549239,14.360320013603973,14.137679598980895,14.346405982971191,1254953,0.0,0.0
2019-01-15,14.367274016808912,14.506424903869629,14.318571604450023,14.506424903869629,1409128,0.0,0.0
2019-01-16,14.464681103026201,14.499468163518117,14.269870113964112,14.381190299987793,1442853,0.0,0.0
2019-01-17,14.374232791581303,14.61078852142482,14.360317436404317,14.56208610534668,1053334,0.0,0.0
2019-01-18,14.603832213135897,14.742983123870346,14.534256757768674,14.708194732666016,1281973,0.0,0.0
2019-01-21,14.7151529228272,14.722110601310114,14.589917364217708,14.666450500488281,553032,0.0,0.0
2019-01-22,14.638619479103165,14.812557440630295,14.638619479103165,14.756896018981934,3137692,0.0,0.0
2019-01-23,14.742984218913145,14.889091491699217,14.69428179465112,14.889091491699219,2215645,0.0,0.0
2019-01-24,14.86126239059014,15.01432734508861,14.86126239059014,15.000411987304688,1477344,0.0,0.0
2019-01-25,15.021282024632331,15.063026762607231,14.798641652711133,14.840386390686035,1182897,0.0,0.0
2019-01-28,14.756897007902511,14.868218531618016,14.708194587737777,14.777770042419434,822915,0.0,0.0
2019-01-29,14.798641858000748,15.063026971564446,14.798641858000748,15.042155265808105,1588086,0.0,0.0
2019-01-30,15.014324150704264,15.069984242956389,14.951706381040465,14.993451118469238,1323640,0.0,0.0
2019-01-31,15.007366028948288,15.195219332377649,15.007366028948288,15.181303977966309,2091135,0.0,0.0
2019-02-01,15.202177810089044,15.223049515763861,15.014324496767834,15.12564468383789,1000944,0.0,0.0
2019-02-04,15.049112249992834,15.195220831645521,15.000409831789062,15.160433769226074,1466547,0.0,0.0
2019-02-05,15.132603145798198,15.299583435058594,15.056070015580001,15.299583435058594,1365932,0.0,0.0
2019-02-06,15.264798164367674,15.369160691526343,15.19522270391472,15.264798164367676,1613311,0.0,0.0
2019-02-07,15.209135055541992,15.299582207326155,15.118686576716561,15.209135055541992,755087,0.0,0.0
2019-02-08,15.132602574920563,15.181304991570707,14.979537647299923,15.09781551361084,857879,0.0,0.0
2019-02-11,15.056069235158779,15.181304777372917,14.97257975837689,15.12564468383789,964406,0.0,0.0
2019-02-12,15.167389729355406,15.362200724193412,15.125644990119167,15.23696517944336,1260831,0.0,0.0
2019-02-13,15.21609367588272,15.27871012204988,14.979537938659753,15.083900451660156,1173454,0.0,0.0
2019-02-14,15.132601856357745,15.230006685032821,15.07694176468038,15.167388916015625,1436532,0.0,0.0
2019-02-15,15.167389287878956,15.167389287878956,14.847344084647771,14.965621948242188,1602833,0.0,0.0
2019-02-18,14.944749258948873,15.09781551361084,14.923877552979569,15.09781551361084,1001737,0.0,0.0
2019-02-19,15.076943692029806,15.12564611259318,15.021283593237174,15.063028335571289,776179,0.0,0.0
2019-02-20,15.076942166927948,15.285667184526467,15.04911145682612,15.216093063354492,1064083,0.0,0.0
2019-02-21,15.243923481300783,15.40394609412608,15.097816224471089,15.230008125305176,1141893,0.0,0.0
2019-02-22,15.223050632920852,15.306541442871094,15.139561150012014,15.306541442871094,971790,0.0,0.0
2019-02-25,15.306541148923733,15.348285889576484,15.21609398966921,15.320456504821777,1311868,0.0,0.0
2019-02-26,15.236965368259996,15.341327881164522,15.230007690460846,15.313498497009277,1575759,0.0,0.0
2019-02-27,15.369158878379965,15.570926230144744,15.174347877502441,15.174347877502441,1673978,0.0,0.0
2019-02-28,15.167390506401365,15.42481928680282,15.167390506401365,15.410903930664062,1203236,0.0,0.0
2019-03-01,15.438734520325465,15.50830997342529,15.223050483011873,15.25088119506836,2008288,0.0,0.0
2019-03-04,15.278710544248408,15.341328319187244,15.181305706361945,15.230008125305176,855824,0.0,0.0
2019-03-05,15.195220911288333,15.250881007676,15.069985362655737,15.174347877502441,1216941,0.0,0.0
2019-03-06,15.209136124979253,15.278710249532466,15.111729961930301,15.24392318725586,756797,0.0,0.0
2019-03-07,15.271754300021634,15.75182214185258,15.271754300021634,15.744864463806152,1521453,0.0,0.0
2019-03-08,15.626586148651736,15.932717338819838,15.577883730747088,15.703119277954102,1230904,0.0,0.0
2019-03-11,15.703118830969014,15.730949541574539,15.487436131941486,15.66137409210205,1023175,0.0,0.0
2019-03-12,15.689204912394546,15.849228858947754,15.598757748726598,15.849228858947754,936068,0.0,0.0
2019-03-13,15.703118867827046,15.814439056427789,15.640501095858962,15.682247161865234,1186821,0.0,0.0
2019-03-14,15.730949989351819,15.793567762955327,15.633543826501166,15.703119277954102,895327,0.0,0.0
2019-03-15,15.710077580067725,15.807482419747553,15.605715062261995,15.696162223815918,2142829,0.0,0.0
2019-03-18,15.654416543808752,15.821396827697752,15.640501188391003,15.821396827697754,1053385,0.0,0.0
2019-03-19,15.835312487588787,16.016208130373705,15.779652391888916,15.932717323303223,1678112,0.0,0.0
2019-03-20,15.890972876509775,15.995335391992565,15.849228135724935,15.918802261352539,1264004,0.0,0.0
2019-03-21,15.88401399200797,15.995334177006049,15.856184609279092,15.95358943939209,670317,0.0,0.0
2019-03-22,15.967503327546837,16.12056823609876,15.884012532946869,16.099695205688477,2671948,0.0,0.0
2019-03-25,15.974458938087777,16.106652137153308,15.974458938087777,16.07186508178711,1306360,0.0,0.0
2019-03-26,16.134483894428786,16.21101568662958,15.897928186809196,15.981417655944824,1001940,0.0,0.0
2019-03-27,15.85618414595436,16.057951477727165,15.65441548714031,16.016206741333008,1254222,0.0,0.0
2019-03-28,15.932719633718978,16.09274226618094,15.85618782043457,15.85618782043457,1262269,0.0,0.0
2019-03-29,15.897929955454044,15.988377111586752,15.793567443903585,15.821396827697754,1482409,0.0,0.0
2019-04-01,15.946634181339714,15.967507216834148,15.744865486017968,15.786611557006836,1095299,0.0,0.0
